"","statNm","addr","lat","lng","useTime"
"60","정관보건지소","부산광역시 기장군 정관읍 용수로 11","35.325185","129.178786","24시간 이용가능"
"61","정관보건지소","부산광역시 기장군 정관읍 용수로 11","35.325185","129.178786","24시간 이용가능"
"62","kbs 부산방송총국","부산광역시 수영구 수영로 429","35.145000","129.107728","24시간 이용가능"
"63","kbs 부산방송총국","부산광역시 수영구 수영로 429","35.145000","129.107728","24시간 이용가능"
"64","kbs 부산방송총국","부산광역시 수영구 수영로 429","35.145000","129.107728","24시간 이용가능"
"65","기장현대드림볼파크","부산광역시 기장군 일광면 동백리 409","35.297079","129.240358","24시간 이용가능"
"66","기장현대드림볼파크","부산광역시 기장군 일광면 동백리 409","35.297079","129.240358","24시간 이용가능"
"67","기장현대드림볼파크","부산광역시 기장군 일광면 동백리 409","35.297079","129.240358","24시간 이용가능"
"68","국립부산과학관","부산광역시 기장군 기장읍 석산리 293","35.205239","129.212284","24시간 이용가능"
"69","국립부산과학관","부산광역시 기장군 기장읍 석산리 293","35.205239","129.212284","24시간 이용가능"
"70","명장동 공영주차장 ","부산광역시 동래구 명장동 538","35.210417","129.098028","24시간 이용가능"
"71","부전역 공영주차장","부산광역시 부산진구 부전1동 46","35.163250","129.061667","07:00~18:00"
"72","부전역 공영주차장","부산광역시 부산진구 부전1동 46","35.163250","129.061667","07:00~18:00"
"73","암남동주민센터","부산광역시 서구 암남동 89-1","35.079833","129.021333","24시간 이용가능"
"74","한국수력원자력 고리원자력본부","부산광역시 기장군 장안읍 길천리 300","35.330056","129.286083","24시간 이용가능"
"75","한국수력원자력 고리원자력본부","부산광역시 기장군 장안읍 길천리 300","35.330056","129.286083","24시간 이용가능"
"76","부산도시공사","부산광역시 부산진구 신천대로 156","35.155737","129.051412","24시간 이용가능"
"77","부산도시공사","부산광역시 부산진구 신천대로 156","35.155737","129.051412","24시간 이용가능"
"78","한국공항공사 부산지역본부 김해공항 주차빌딩","부산광역시 강서구 대저2동 2764","35.171012","128.950692","24시간 이용가능"
"79","한국공항공사 부산지역본부 김해공항 주차빌딩","부산광역시 강서구 대저2동 2764","35.171012","128.950692","24시간 이용가능"
"80","한국공항공사 부산지역본부 김해공항 주차빌딩","부산광역시 강서구 대저2동 2764","35.171012","128.950692","24시간 이용가능"
"81","한국공항공사 부산지역본부 김해공항 주차빌딩","부산광역시 강서구 대저2동 2764","35.171012","128.950692","24시간 이용가능"
"82","한국공항공사 부산지역본부 김해공항 옥외주차장","부산광역시 강서구 공항진입로 108","35.171750","128.950861","24시간 이용가능"
"83","한국공항공사 부산지역본부 김해공항 옥외주차장","부산광역시 강서구 공항진입로 108","35.171750","128.950861","24시간 이용가능"
